"","punk","bid","bid_withdrawn","offer","offer_withdrawn","transfer","unwrap","wrap","largest_bid","sold_price","sold_date","last_sold_price"
"8925",2004,3,1,2,1,0,0,0,"5808","82086",2021-03-03,"NA"
"8926",2005,0,0,1,0,0,0,0,NA,"311191",2021-08-27,"125141"
"8927",2005,0,0,1,0,0,0,0,NA,"125141",2021-04-21,"67031"
"8928",2005,0,0,1,0,0,0,0,NA,"67031",2021-04-16,"36590"
"8929",2005,3,2,6,4,0,0,0,"38064","36590",2021-04-08,"41046"
"8930",2005,0,0,13,0,1,1,1,NA,"41046",2021-03-09,"3755"
"8931",2005,0,0,2,0,0,0,0,NA,"3755",2020-12-28,"1906"
"8932",2005,0,0,1,0,0,0,0,NA,"1906",2020-12-26,"72"
"8933",2005,0,0,3,0,0,0,0,NA,"72",2017-12-28,"NA"
"8934",2006,0,0,2,0,0,0,0,NA,"461344",2021-08-27,"316210"
"8935",2006,1,1,1,0,0,0,0,"349","316210",2021-08-23,"75"
"8936",2006,1,0,1,0,0,0,0,"16","75",2017-07-04,"NA"
"8937",2007,0,0,5,1,1,0,0,NA,"356071",2021-08-27,"16341"
"8938",2007,0,0,1,0,1,0,0,NA,"16341",2021-02-15,"NA"
"8939",2008,0,0,8,2,3,3,3,NA,"247702",2021-08-27,"44838"
"8940",2008,1,0,2,0,0,0,0,"44552","44838",2021-04-15,"44467"
"8941",2008,0,0,3,1,1,1,1,NA,"44467",2021-04-13,"36152"
"8942",2008,0,0,6,0,1,0,0,NA,"36152",2021-04-08,"14933"
"8943",2008,0,0,1,0,0,0,0,NA,"14933",2021-02-14,"NA"
"8944",2009,1,1,1,0,1,0,0,"250460","278664",2021-08-27,"64154"
"8945",2009,1,1,2,0,0,0,0,"45810","64154",2021-06-10,"38640"
"8946",2009,1,0,5,0,0,0,0,"38807","38640",2021-03-31,"36853"
"8947",2009,1,1,1,0,1,0,0,"32139","36853",2021-03-30,"NA"
"8948",2010,0,1,2,1,1,0,0,NA,"270706",2021-08-27,"152353"
"8949",2010,2,1,5,4,1,0,0,"139928","152353",2021-08-15,"48804"
"8950",2010,0,0,1,0,0,0,0,NA,"48804",2021-03-12,"23384"
"8951",2010,1,1,1,0,0,0,0,"19912","23384",2021-02-17,"19"
